site_code,pop_class,County,,Address,Full FIPS
204048,Suburban,Sacramento County,,"2617 S St, Sacramento, CA, 95816",6067001900
222014,Suburban,Sacramento County,,"2031 30th St, Sacramento, CA, 95817",6067001900
202018,Suburban,Sacramento County,,"1931 3rd St, Sacramento, CA, 95811",6067002100
205014,Suburban,Sacramento County,,"1016 Yale St, Sacramento, CA, 95818",6067002100
214029,Suburban,Sacramento County,,"1931 3rd St, Sacramento, CA, 95811",6067002100
222050,Suburban,Sacramento County,,"208 S St, Sacramento, CA, 95811",6067002100
234012,Rural,Sacramento County,,"1000 Broadway, Sacramento, CA, 95818",6067002200
222034,Suburban,Sacramento County,,"2604 21st St, Sacramento, CA, 95818",6067002300
204052,Suburban,Sacramento County,,"1241 11th Ave, Sacramento, CA, 95818",6067002400
262002,Rural,Sacramento County,,"3901 Land Park Dr, Sacramento, CA, 95822",6067002400
203022,Suburban,Sacramento County,,"2750 24th St, Sacramento, CA, 95818",6067002600
206004,Suburban,Sacramento County,,"2415 1st Ave, Sacramento, CA, 95818",6067002600
222007,Suburban,Sacramento County,,"2409 Portola Way, Sacramento, CA, 95818",6067002600
213005,Suburban,Sacramento County,,"3401 6th Ave, Sacramento, CA, 95817",6067002700
222013,Suburban,Sacramento County,,"3887 9th Ave, Sacramento, CA, 95817",6067002700
222043,Suburban,Sacramento County,,"4409 11th Ave, Sacramento, CA, 95820",6067002800
222044,Suburban,Sacramento County,,"3400 Stockton Blvd, Sacramento, CA, 95820",6067002800
252014,Suburban,Sacramento County,,"4441 10th Ave, Sacramento, CA, 95820",6067002800
212042,Suburban,Sacramento County,,"3516 56th St, Sacramento, CA, 95820",6067002900
223018,Suburban,Sacramento County,,"3310 62nd St, Sacramento, CA, 95820",6067002900
214040,Suburban,Sacramento County,,"4631 76th St, Sacramento, CA, 95820",6067003001
233103,Suburban,Sacramento County,,"7331 17th Ave, Sacramento, CA, 95820",6067003001
223023,Suburban,Sacramento County,,"5250 Standish Rd, Sacramento, CA, 95820",6067003101
223053,Suburban,Sacramento County,,"6025 Dias Ave, Sacramento, CA, 95824",6067003202
232035,Suburban,Sacramento County,,"6207 Logan St, Sacramento, CA, 95824",6067003203
204046,Suburban,Sacramento County,,"5449 Parish Ct, Sacramento, CA, 95822",6067003300
212012,Suburban,Sacramento County,,"5010 Del Rio Rd, Sacramento, CA, 95822",6067003300
223054,Suburban,Sacramento County,,"5701 Holstein Way, Sacramento, CA, 95822",6067003300
252027,Rural,Sacramento County,,"6320 Belleau Wood Ln, Sacramento, CA, 95822",6067003400
214054,Suburban,Sacramento County,,"2216 23rd Ave, Sacramento, CA, 95822",6067003501
222031,Suburban,Sacramento County,,"2140 34th Ave, Sacramento, CA, 95822",6067003502
223050,Suburban,Sacramento County,,"3956 28th St, Sacramento, CA, 95820",6067003600
261017,Rural,Sacramento County,,"3935 Franklin Blvd, Sacramento, CA, 95820",6067003700
233090,,Sacramento County,,"7016 21st St, Sacramento, CA, 95822",6067003800
254013,Suburban,Sacramento County,,"6801 Freeport Blvd, Sacramento, CA, 95822",6067003800
205028,Suburban,Sacramento County,,"5750 Riverside Blvd, Sacramento, CA, 95822",6067003900
214050,Suburban,Sacramento County,,"980 Seamas Ave, Sacramento, CA, 95822",6067003900
222027,Suburban,Sacramento County,,"5666 Delcliff Cir, Sacramento, CA, 95822",6067003900
222029,Suburban,Sacramento County,,"1116 28th Ave, Sacramento, CA, 95822",6067003900
222040,Suburban,Sacramento County,,"1081 Sagamore Way, Sacramento, CA, 95822",6067003900
203026,Suburban,Sacramento County,,"823 Parklin Ave, Sacramento, CA, 95831",6067004005
212014,Suburban,Sacramento County,,"6188 N Point Way, Sacramento, CA, 95831",6067004005
222018,Suburban,Sacramento County,,"6627 Gloria Dr, Sacramento, CA, 95831",6067004005
222058,Suburban,Sacramento County,,"43 Parklite Cir, Sacramento, CA, 95831",6067004005
222060,,Sacramento County,,"47 Southlite Cir, Sacramento, CA, 95831",6067004005
214033,Suburban,Sacramento County,,"6001 Riverside Blvd, Sacramento, CA, 95831",6067004006
222059,,Sacramento County,,"47 Greenway Cir, Sacramento, CA, 95831",6067004006
234026,Rural,Sacramento County,,"1195 Florin Rd, Sacramento, CA, 95831",6067004006
224002,Suburban,Sacramento County,,"50 Cache River Cir, Sacramento, CA, 95831",6067004008
243033,Rural,Sacramento County,,"48 Watershore Cir, Sacramento, CA, 95831",6067004011
224005,Suburban,Sacramento County,,"7660 Pocket Rd, Sacramento, CA, 95831",6067004012
232007,Suburban,Sacramento County,,"7688 Roman Oak Way, Sacramento, CA, 95831",6067004012
232003,Rural,Sacramento County,,"7411 Farm Dale Way, Sacramento, CA, 95831",6067004013
233035,Suburban,Sacramento County,,"7044 El Sereno Cir, Sacramento, CA, 95831",6067004013
214015,Suburban,Sacramento County,,"6135 Gloria Dr, Sacramento, CA, 95831",6067004014
222008,Suburban,Sacramento County,,"130 Portinao Cir, Sacramento, CA, 95831",6067004016
233001,Suburban,Sacramento County,,"7140 Pocket Rd, Sacramento, CA, 95831",6067004016
222061,,Sacramento County,,"39 Los Gatos Cir, Sacramento, CA, 95831",6067004018
222062,,Sacramento County,,"19 Princeville Cir, Sacramento, CA, 95831",6067004018
233025,Suburban,Sacramento County,,"30 Riverstar Cir, Sacramento, CA, 95831",6067004018
226003,Suburban,Sacramento County,,"903 Gulfwind Way, Sacramento, CA, 95831",6067004019
222032,Suburban,Sacramento County,,"197 Otto Cir, Sacramento, CA, 95822",6067004100
222037,Suburban,Sacramento County,,"2480 52nd Ave, Sacramento, CA, 95822",6067004100
232030,Suburban,Sacramento County,,"2512 50th Ave, Sacramento, CA, 95822",6067004100
203035,Suburban,Sacramento County,,"1825 67th Ave, Sacramento, CA, 95822",6067004201
222047,Suburban,Sacramento County,,"7464 Balfour Way, Sacramento, CA, 95822",6067004202
233075,Suburban,Sacramento County,,"7340 24th St, Sacramento, CA, 95822",6067004202
243030,Suburban,Sacramento County,,"7684 Sweetbrier Way, Sacramento, CA, 95832",6067004301
214048,Suburban,Sacramento County,,"3310 Meadowview Rd, Sacramento, CA, 95832",6067004302
222039,Suburban,Sacramento County,,"7760 24th St, Sacramento, CA, 95832",6067004302
232020,Suburban,Sacramento County,,"2305 Expedition Way, Sacramento, CA, 95832",6067004302
233073,Suburban,Sacramento County,,"2515 Cadjew Ave, Sacramento, CA, 95832",6067004302
271006,Rural,Sacramento County,,"7641 Teekay Way, Sacramento, CA, 95832",6067004302
203011,Suburban,Sacramento County,,"4610 28th Ave, Sacramento, CA, 95820",6067004401
233017,Suburban,Sacramento County,,"5451 Ethel Way, Sacramento, CA, 95820",6067004401
222049,Suburban,Sacramento County,,"4312 W Nichols Ave, Sacramento, CA, 95820",6067004402
262004,Rural,Sacramento County,,"4102 44th St, Sacramento, CA, 95820",6067004402
233063,Suburban,Sacramento County,,"5945 Franklin Blvd, Sacramento, CA, 95824",6067004501
222038,Suburban,Sacramento County,,"4125 49th Ave, Sacramento, CA, 95823",6067004502
222046,Suburban,Sacramento County,,"4101 Cuny Ave, Sacramento, CA, 95823",6067004502
223046,Suburban,Sacramento County,,"4016 44th Ave, Sacramento, CA, 95824",6067004602
223052,Suburban,Sacramento County,,"4232 46th Ave, Sacramento, CA, 95824",6067004602
123014,Suburban,Sacramento County,,"7105 6th Pkwy, Sacramento, CA, 95823",6067004701
204053,Suburban,Sacramento County,,"5416 North Pkwy, Sacramento, CA, 95823",6067004701
232033,Suburban,Sacramento County,,"7105 6th Pkwy, Sacramento, CA, 95823",6067004701
202027,Suburban,Sacramento County,,"6960 Chris Ave, Sacramento, CA, 95828",6067004802
214022,Suburban,Sacramento County,,"7460 Persimmon Ave, Sacramento, CA, 95823",6067004904
232026,Suburban,Sacramento County,,"3796 Robinridge Way, Sacramento, CA, 95823",6067004908
232034,Suburban,Sacramento County,,"3865 Sparrowood Way, Sacramento, CA, 95823",6067004908
233051,Suburban,Sacramento County,,"6000 Orange Ave, Sacramento, CA, 95823",6067005002
202030,Suburban,Sacramento County,,"7397 Bruno Way, Sacramento, CA, 95828",6067005003
205036,,Sacramento County,,"7524 Greyhawk Ct, Sacramento, CA, 95828",6067005003
226008,Suburban,Sacramento County,,"7336 Del Coronado Way, Sacramento, CA, 95828",6067005003
224007,Suburban,Sacramento County,,"7493 Reese Rd, Sacramento, CA, 95828",6067005101
226002,Rural,Sacramento County,,"7435 Reese Rd, Sacramento, CA, 95828",6067005101
233028,Suburban,Sacramento County,,"7493 Reese Rd, Sacramento, CA, 95828",6067005101
233052,Suburban,Sacramento County,,"8184 Florin Rd, Sacramento, CA, 95828",6067005101
233069,Suburban,Sacramento County,,"7232 Diana Way, Sacramento, CA, 95828",6067005101
223041,Suburban,Sacramento County,,"8573 Napier Way, Sacramento, CA, 95828",6067005102
233030,Suburban,Sacramento County,,"7572 Elk Grove Florin Rd, Sacramento, CA, 95829",6067005102
235015,Rural,Sacramento County,,"7304 Fletcher Farm Dr, Sacramento, CA, 95828",6067005102
223012,Suburban,Sacramento County,,"6014 J St, Sacramento, CA, 95819",6067005201
233038,Suburban,Sacramento County,,"7747 College Town Dr, Sacramento, CA, 95826",6067005201
223004,Suburban,Sacramento County,,"8620 Glenroy Way, Sacramento, CA, 95826",6067005202
223024,Suburban,Sacramento County,,"39 Waterglen Cir, Sacramento, CA, 95826",6067005202
223025,Suburban,Sacramento County,,"8420 Mediterranean Way, Sacramento, CA, 95826",6067005202
223026,Suburban,Sacramento County,,"2 Garden Path Ct, Sacramento, CA, 95826",6067005202
232036,Suburban,Sacramento County,,"7927 La Riviera Dr, Sacramento, CA, 95826",6067005202
203017,Rural,Sacramento County,,"8775 Jackson Rd, Sacramento, CA, 95826",6067005204
223027,Suburban,Sacramento County,,"8481 Lake Forest Dr, Sacramento, CA, 95826",6067005204
223059,Suburban,Sacramento County,,"3150 Wissemann Dr, Sacramento, CA, 95826",6067005204
223060,Suburban,Sacramento County,,"2707 Notre Dame Dr, Sacramento, CA, 95826",6067005204
232017,Suburban,Sacramento County,,"2711 Wissemann Dr, Sacramento, CA, 95826",6067005204
233027,Suburban,Sacramento County,,"8298 Folsom Blvd, Sacramento, CA, 95826",6067005205
251003,Rural,Sacramento County,,"8184 14th Ave, Sacramento, CA, 95826",6067005205
212003,Suburban,Sacramento County,,"341 N 10th St, Sacramento, CA, 95811",6067005301
212037,Suburban,Sacramento County,,"1601 Tribute Rd, Sacramento, CA, 95815",6067005402
255012,Rural,Sacramento County,,"1000 Hurley Way, Sacramento, CA, 95825",6067005402
262003,Rural,Sacramento County,,"1767 Tribute Rd, Sacramento, CA, 95815",6067005402
271004,Rural,Sacramento County,,"1619 Exposition Blvd, Sacramento, CA, 95815",6067005402
214042,Suburban,Sacramento County,,"155 Hartnell Pl, Sacramento, CA, 95825",6067005403
203028,Suburban,Sacramento County,,"4040 Crondall Dr, Sacramento, CA, 95864",6067005404
222016,Suburban,Sacramento County,,"272 Selby Ranch Rd, Sacramento, CA, 95864",6067005404
223005,Suburban,Sacramento County,,"90 Scripps Dr, Sacramento, CA, 95825",6067005404
223014,Suburban,Sacramento County,,"150 E Ranch Rd, Sacramento, CA, 95825",6067005404
212024,Suburban,Sacramento County,,"2340 Cormorant Way, Sacramento, CA, 95815",6067005502
214044,Suburban,Sacramento County,,"1711 Bowling Green Dr, Sacramento, CA, 95815",6067005502
215009,Suburban,Sacramento County,,"2107 Bell St, Sacramento, CA, 95825",6067005505
223051,Suburban,Sacramento County,,"802 Woodside Ln E, Sacramento, CA, 95825",6067005508
205024,Suburban,Sacramento County,,"1012 Clinton Rd, Sacramento, CA, 95825",6067005510
205002,Suburban,Sacramento County,,"2200 Gramercy Dr, Sacramento, CA, 95825",6067005601
233028,Suburban,Sacramento County,,"2228 Kincaid Way, Sacramento, CA, 95825",6067005601
243026,Rural,Sacramento County,,"3097 Cottage Way, Sacramento, CA, 95825",6067005601
205030,Suburban,Sacramento County,,"731 Watt Ave, Sacramento, CA, 95864",6067005606
212025,Suburban,Sacramento County,,"1000 Fulton Ave, Sacramento, CA, 95825",6067005606
216001,Suburban,Sacramento County,,"601 Lilac Ln, Sacramento, CA, 95864",6067005606
232027,,Sacramento County,,"3410 Adams Rd, Sacramento, CA, 95864",6067005606
213033,Suburban,Sacramento County,,"2021 Maryal Dr, Sacramento, CA, 95864",6067005701
222026,Suburban,Sacramento County,,"1910 Windemere Ln, Sacramento, CA, 95864",6067005701
224015,Suburban,Sacramento County,,"1931 Rockwood Dr, Sacramento, CA, 95864",6067005701
203046,Suburban,Sacramento County,,"1081 La Sierra Dr, Sacramento, CA, 95864",6067005702
204006,Suburban,Sacramento County,,"800 El Encino Way, Sacramento, CA, 95864",6067005702
204379,Urban,Sacramento County,,"3561 San Ysidro Way, Sacramento, CA, 95864",6067005702
205013,Suburban,Sacramento County,,"1030 La Sierra Dr, Sacramento, CA, 95864",6067005702
213014,Suburban,Sacramento County,,"4012 Esperanza Dr, Sacramento, CA, 95864",6067005702
204049,Suburban,Sacramento County,,"2116 Mission Ave, Carmichael, CA, 95608",6067005801
213007,Suburban,Sacramento County,,"4821 Thor Way, Carmichael, CA, 95608",6067005801
213052,Suburban,Sacramento County,,"1741 Mission Ave, Carmichael, CA, 95608",6067005801
213053,Suburban,Sacramento County,,"1769 Park Place Dr, Carmichael, CA, 95608",6067005801
254009,Suburban,Sacramento County,,"4412 Pinewood Ct, Sacramento, CA, 95864",6067005801
203038,Suburban,Sacramento County,,"4681 Fair Oaks Blvd, Sacramento, CA, 95864",6067005803
213010,Suburban,Sacramento County,,"1100 Eastern Ave, Sacramento, CA, 95864",6067005803
213050,Suburban,Sacramento County,,"1000 River Walk Way, Carmichael, CA, 95608",6067005804
214017,Suburban,Sacramento County,,"1501 McClaren Dr, Carmichael, CA, 95608",6067005804
213060,Urban,Sacramento County,,"4300 Mason Ln, Sacramento, CA, 95821",6067005901
214008,Suburban,Sacramento County,,"4252 Mason Ln, Sacramento, CA, 95821",6067005901
223043,Suburban,Sacramento County,,"5009 Whitney Ave, Carmichael, CA, 95608",6067005901
224008,Suburban,Sacramento County,,"3916 Scotty Way, Sacramento, CA, 95821",6067005901
213054,Suburban,Sacramento County,,"2735 Sheridan Way, Sacramento, CA, 95821",6067005904
242015,Rural,Sacramento County,,"4733 North Ave, Carmichael, CA, 95608",6067005904
204317,Urban,Sacramento County,,"2700 Maryal Dr, Sacramento, CA, 95821",6067006002
243033,,Sacramento County,,"3901 Knollwood Ct, Sacramento, CA, 95821",6067006004
205010,Suburban,Sacramento County,,"3230 Pope Ave, Sacramento, CA, 95821",6067006101
212007,Suburban,Sacramento County,,"3001 Crest Haven Dr, Sacramento, CA, 95821",6067006102
213012,Suburban,Sacramento County,,"2336 Church Ave, Sacramento, CA, 95821",6067006203
212031,Suburban,Sacramento County,,"2129 Catskill Way, Sacramento, CA, 95838",6067006300
213006,Suburban,Sacramento County,,"1126 Grace Ave, Sacramento, CA, 95838",6067006502
203010,Suburban,Sacramento County,,"3271 Marysville Blvd, Sacramento, CA, 95815",6067006600
214036,Suburban,Sacramento County,,"3755 Pell Cir, Sacramento, CA, 95838",6067006703
242016,Suburban,Sacramento County,,"112 Estes Way, Sacramento, CA, 95838",6067006703
270004,Rural,Sacramento County,,"10 Main Ave, Sacramento, CA, 95838",6067006703
234027,Suburban,Sacramento County,,"659 Bell Ave, Sacramento, CA, 95838",6067006704
212027,Suburban,Sacramento County,,"3901 Norwood Ave, Sacramento, CA, 95838",6067006705
212026,Suburban,Sacramento County,,"2400 Western Ave, Sacramento, CA, 95815",6067006803
243028,Rural,Sacramento County,,"116 Lindley Dr, Sacramento, CA, 95815",6067006803
223028,Suburban,Sacramento County,,"475 Woodlake Dr, Sacramento, CA, 95815",6067006901
212017,Suburban,Sacramento County,,"3870 Rosin Ct, Sacramento, CA, 95834",6067007001
212040,Suburban,Sacramento County,,"319 Bowman Ave, Sacramento, CA, 95833",6067007001
202002,Rural,Sacramento County,,"700 Norland Dr, Sacramento, CA, 95833",6067007007
212036,Suburban,Sacramento County,,"461 Del Paso Blvd, Sacramento, CA, 95815",6067007007
212039,Suburban,Sacramento County,,"717 Norwich Ct, Sacramento, CA, 95833",6067007007
212041,Suburban,Sacramento County,,"701 Northfield Dr, Sacramento, CA, 95833",6067007007
214056,Suburban,Sacramento County,,"3053 Northstead Dr, Sacramento, CA, 95833",6067007007
233101,,Sacramento County,,"819 Potomac Ave, Sacramento, CA, 95833",6067007007
212021,Suburban,Sacramento County,,"2805 Grasslands Dr, Sacramento, CA, 95833",6067007010
243034,Suburban,Sacramento County,,"1367 Garden Hwy, Sacramento, CA, 95833",6067007010
233064,Suburban,Sacramento County,,"2225 Natomas Park Dr, Sacramento, CA, 95833",6067007011
255005,Rural,Sacramento County,,"1951 Roma Ct, Sacramento, CA, 95833",6067007011
203030,Suburban,Sacramento County,,"19 Millview Ct, Sacramento, CA, 95833",6067007012
203033,Suburban,Sacramento County,,"191 Bewicks Cir, Sacramento, CA, 95834",6067007016
212002,Rural,Sacramento County,,"3360 Leona Cir, Sacramento, CA, 95834",6067007016
215002,Suburban,Sacramento County,,"2111 Garden Hwy, Sacramento, CA, 95833",6067007020
202021,Suburban,Sacramento County,,"3450 Smilax Way, Sacramento, CA, 95834",6067007021
212018,Suburban,Sacramento County,,"3585 Rancho Vista Way, Sacramento, CA, 95834",6067007021
212019,Suburban,Sacramento County,,"3655 Cattle Dr, Sacramento, CA, 95834",6067007021
213055,Suburban,Sacramento County,,"3401 Bridgeford Dr, Sacramento, CA, 95834",6067007021
212016,Suburban,Sacramento County,,"1664 Vallarta Cir, Sacramento, CA, 95834",6067007022
212005,Suburban,Sacramento County,,"3920 Del Paso Rd, Sacramento, CA, 95834",6067007026
214002,Suburban,Sacramento County,,"4120 Garden Hwy, Sacramento, CA, 95834",6067007026
232038,Suburban,Sacramento County,,"2399 Cashaw Way, Sacramento, CA, 95834",6067007028
202005,Rural,Sacramento County,,"6900 Airport Blvd W, Sacramento, CA, 95837",6067007101
226009,Suburban,Sacramento County,,"7050 Garden Hwy, Sacramento, CA, 95837",6067007101
232029,Rural,Sacramento County,,"6421 McNair Cir, Sacramento, CA, 95837",6067007101
232039,Rural,Sacramento County,,"6736 Earhart Dr, Sacramento, CA, 95837",6067007101
233037,Suburban,Sacramento County,,"7200 Garden Hwy, Sacramento, CA, 95837",6067007101
242009,Rural,Sacramento County,,"6850 Airport Blvd, Sacramento, CA, 95837",6067007101
253005,Rural,Sacramento County,,"7325 Walnut Rd, Sacramento, CA, 95837",6067007101
255003,Rural,Sacramento County,,"6301 Aviation Dr, Sacramento, CA, 95837",6067007101
261020,Rural,Sacramento County,,"3998 W Elverta Rd, Sacramento, CA, 95836",6067007101
270003,Rural,Sacramento County,,"8701 E Levee Rd, Elverta, CA, 95626",6067007101
223033,Suburban,Sacramento County,,"450 Rick Heinrich Cir, Sacramento, CA, 95835",6067007105
261001,Rural,Sacramento County,,"1901 Club Center Dr, Sacramento, CA, 95835",6067007105
204027,Suburban,Sacramento County,,"5120 Tunis Rd, Sacramento, CA, 95835",6067007106
244001,Rural,Sacramento County,,"701 Barros Dr, Sacramento, CA, 95835",6067007106
215021,Suburban,Sacramento County,,"6 Great Peconic Pl, Sacramento, CA, 95835",6067007108
222052,Suburban,Sacramento County,,"3315 Parque Way, Sacramento, CA, 95835",6067007108
202024,Suburban,Sacramento County,,"5978 Country Manor Pl, Sacramento, CA, 95835",6067007109
254016,Suburban,Sacramento County,,"2351 Ryedale Ln, Sacramento, CA, 95835",6067007109
222023,Suburban,Sacramento County,,"48 Allard Ct, Sacramento, CA, 95835",6067007111
201004,Rural,Sacramento County,,"2560 W Elkhorn Blvd, Rio Linda, CA, 95673",6067007202
202010,Rural,Sacramento County,,"6550 Dry Creek Rd, Rio Linda, CA, 95673",6067007202
203012,Suburban,Sacramento County,,"5701 Dry Creek Rd, Rio Linda, CA, 95673",6067007202
203015,Suburban,Sacramento County,,"2200 E St, Rio Linda, CA, 95673",6067007202
212009,Suburban,Sacramento County,,"1420 E St, Rio Linda, CA, 95673",6067007202
242004,Rural,Sacramento County,,"2020 W Elkhorn Blvd, Rio Linda, CA, 95673",6067007202
244002,Rural,Sacramento County,,"5701 Dry Creek Rd, Rio Linda, CA, 95673",6067007202
253003,Rural,Sacramento County,,"2560 W Elkhorn Blvd, Rio Linda, CA, 95673",6067007202
204034,Suburban,Sacramento County,,"4915 Wind Creek Dr, Sacramento, CA, 95838",6067007204
205007,Suburban,Sacramento County,,"380 Sumatra Dr, Sacramento, CA, 95838",6067007204
213004,Suburban,Sacramento County,,"5112 Marysville Blvd, Sacramento, CA, 95838",6067007204
213025,Suburban,Sacramento County,,"1236 Claire Ave, Sacramento, CA, 95838",6067007204
214020,Suburban,Sacramento County,,"5123 Marysville Blvd, Sacramento, CA, 95838",6067007204
214041,Suburban,Sacramento County,,"1400 Vinci Ave, Sacramento, CA, 95838",6067007204
222036,Suburban,Sacramento County,,"5175 Alii Way, Sacramento, CA, 95838",6067007204
252010,Rural,Sacramento County,,"51 Main Ave, Sacramento, CA, 95838",6067007204
203042,Rural,Sacramento County,,"8121 Auburn Ave, Elverta, CA, 95626",6067007206
203045,Rural,Sacramento County,,"8840 El Modena Ave, Elverta, CA, 95626",6067007206
224009,Suburban,Sacramento County,,"8560 Gibson Ranch Rd, Elverta, CA, 95626",6067007206
252013,Rural,Sacramento County,,"8655 Sorento Rd, Elverta, CA, 95626",6067007206
202011,Rural,Sacramento County,,"2590 Elverta Rd, Elverta, CA, 95626",6067007207
203005,Suburban,Sacramento County,,"7935 9th St, Elverta, CA, 95626",6067007207
203043,Rural,Sacramento County,,"7919 El Reno Ave, Elverta, CA, 95626",6067007207
223066,Urban,Sacramento County,,"1315 Aljay Ln, Rio Linda, CA, 95673",6067007207
202013,Rural,Sacramento County,,"5615 4th St, Rio Linda, CA, 95673",6067007208
203006,Rural,Sacramento County,,"7113 W 4th St, Rio Linda, CA, 95673",6067007208
215001,Suburban,Sacramento County,,"621 Marnice Rd, Rio Linda, CA, 95673",6067007208
212030,Suburban,Sacramento County,,"701 Elkhorn Blvd, Rio Linda, CA, 95673",6067007209
213016,Suburban,Sacramento County,,"4985 Watt Ave, North Highlands, CA, 95660",6067007301
213030,Suburban,Sacramento County,,"3642 Wings Way, North Highlands, CA, 95660",6067007301
252009,Rural,Sacramento County,,"5617 Price Ave, McClellan, CA, 95652",6067007301
204020,Suburban,Sacramento County,,"6609 32nd St, North Highlands, CA, 95660",6067007402
214030,Suburban,Sacramento County,,"6516 Thomas Dr, North Highlands, CA, 95660",6067007402
215019,Suburban,Sacramento County,,"3817 Karl Dr, North Highlands, CA, 95660",6067007403
245020,Rural,Sacramento County,,"3917 Stephen Dr, North Highlands, CA, 95660",6067007403
205006,Suburban,Sacramento County,,"3190 Longview Dr, Sacramento, CA, 95821",6067007413
213031,Suburban,Sacramento County,,"3700 Lenore Way, North Highlands, CA, 95660",6067007413
213041,Suburban,Sacramento County,,"3721 Winona Way, North Highlands, CA, 95660",6067007413
234001,Rural,Sacramento County,,"3190 Longview Dr, Sacramento, CA, 95821",6067007413
203002,Suburban,Sacramento County,,"7604 28th St, Antelope, CA, 95843",6067007417
203013,Suburban,Sacramento County,,"3250 Oriole Way, Antelope, CA, 95843",6067007417
235021,Rural,Sacramento County,,"2813 Tourmaline Way, Antelope, CA, 95843",6067007417
243001,Rural,Sacramento County,,"2924 W Elverta Rd, Sacramento, CA, 95836",6067007417
270001,Rural,Sacramento County,,"2924 W Elverta Rd, Sacramento, CA, 95836",6067007417
203018,Rural,Sacramento County,,"5420 Roseville Rd, North Highlands, CA, 95660",6067007424
202009,Suburban,Sacramento County,,"7825 Aztec Way, Antelope, CA, 95843",6067007426
214019,Suburban,Sacramento County,,"4012 Sierra Gold Dr, Antelope, CA, 95843",6067007427
214026,Suburban,Sacramento County,,"5171 Cherbourg Dr, Sacramento, CA, 95842",6067007428
214005,Suburban,Sacramento County,,"7412 Butterball Way, Sacramento, CA, 95842",6067007429
222011,Suburban,Sacramento County,,"4041 Diamond Hill Ct, Antelope, CA, 95843",6067007430
202015,Suburban,Sacramento County,,"8720 Watt Ave, Antelope, CA, 95843",6067007431
203031,Suburban,Sacramento County,,"3437 Ridge Rim Ct, Antelope, CA, 95843",6067007431
203032,Suburban,Sacramento County,,"7325 Danfield Cir, North Highlands, CA, 95660",6067007434
234008,Rural,Sacramento County,,"4222 Cortright Way, North Highlands, CA, 95660",6067007434
254025,Urban,Sacramento County,,"7304 Hutchins Way, North Highlands, CA, 95660",6067007434
203007,Suburban,Sacramento County,,"8634 Antelope North Rd, Antelope, CA, 95843",6067007436
204042,Suburban,Sacramento County,,"5101 Vista Sierra Dr, Antelope, CA, 95843",6067007437
203008,Rural,Sacramento County,,"8245 Palmerson Dr, Antelope, CA, 95843",6067007439
204043,Suburban,Sacramento County,,"8000 Palmerson Dr, Antelope, CA, 95843",6067007439
202025,Suburban,Sacramento County,,"5401 Garfield Ave, Sacramento, CA, 95841",6067007501
204050,Suburban,Sacramento County,,"5331 Kohler Rd, Sacramento, CA, 95841",6067007501
203040,Suburban,Sacramento County,,"5151 Myrtle Ave, Sacramento, CA, 95841",6067007503
213051,Suburban,Sacramento County,,"4604 Madison Ave, Sacramento, CA, 95841",6067007503
213002,Suburban,Sacramento County,,"3625 Park Rd, Sacramento, CA, 95841",6067007504
222017,Suburban,Sacramento County,,"3935 Park Rd, Sacramento, CA, 95841",6067007504
234010,Suburban,Sacramento County,,"4920 Hemlock St, Sacramento, CA, 95841",6067007504
